游戏名字,游戏类型,游戏图片,游戏地址
"('River City Brawl(Europe)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/2114a.png,"('https://www.yikm.net/play?id=4716&n=L2Zjcm9tL3lkYnMvU3RyZWV0IEdhbmdzIChFKSBbIV0ubmVz&t=River City Brawl(Europe)',)"
"('冒险岛4',)","('冒险岛 冒险岛 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/3181.png,"('https://www.yikm.net/play?id=3181&n=L2Zjcm9tL2R6bXgvVGFrYWhhc2hpIE1laWppbiBubyBCb3VrZW4gU2hpbWEgSVYgKEopLm5lcw==&t=冒险岛4',)"
"('River City Brawl(USA)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/1810a.png,"('https://www.yikm.net/play?id=4717&n=L2Zjcm9tL3lkYnMvUml2ZXIgQ2l0eSBSYW5zb20gKFUpIFshXS5uZXM=&t=River City Brawl(USA)',)"
"('RXHPUS(Japan)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=4718&n=L2Zjcm9tL3lkYnMvTmVra2V0c3UgS291aGEgLSBLdW5pby1rdW4gKEopIFshXS5uZXM=&t=RXHPUS(Japan)',)"
"('RXHPUS(USA)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/2230a.png,"('https://www.yikm.net/play?id=4719&n=L2Zjcm9tL3lkYnMvUmVuZWdhZGUgKFUpIFshXS5uZXM=&t=RXHPUS(USA)',)"
"('Nekketsu! Street Basket - Ganbare Dunk Heroes',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/1548a.png,"('https://www.yikm.net/play?id=4720&n=L2Zjcm9tL3lkYnMvTmVra2V0c3UhIFN0cmVldCBCYXNrZXQgLSBHYW5iYXJlIER1bmsgSGVyb2VzIChKKS5uZXM=&t=Nekketsu! Street Basket - Ganbare Dunk Heroes',)"
"('热血足球(日版)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=4721&n=L2Zjcm9tL3lkYnMvTmVra2V0c3UgS291a291IERvZGdlYmFsbCBCdSAtIFNvY2NlciBIZW4gKEopIFshXS5uZXM=&t=热血足球(日版)',)"
"('热血足球(欧版)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=4722&n=L2Zjcm9tL3lkYnMvTmludGVuZG8gV29ybGQgQ3VwIChFKSAoUFJHMCkgWyFdLm5lcw==&t=热血足球(欧版)',)"
"('热血足球(美版)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/1587a.png,"('https://www.yikm.net/play?id=4723&n=L2Zjcm9tL3lkYnMvTmludGVuZG8gV29ybGQgQ3VwIChVKSBbIV0ubmVz&t=热血足球(美版)',)"
"('热血足球联盟',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/1223a.png,"('https://www.yikm.net/play?id=4724&n=L2Zjcm9tL3lkYnMvS3VuaW8ta3VuIG5vIE5la2tldHN1IFNvY2NlciBMZWFndWUgKEopIFshXS5uZXM=&t=热血足球联盟',)"
"('Downtown - Nekketsu Koushin Kyoku - Soreyuke Daiundoukai',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=4725&n=L2Zjcm9tL3lkYnMvRG93bnRvd24gLSBOZWtrZXRzdSBLb3VzaGluIEt5b2t1IC0gU29yZXl1a2UgRGFpdW5kb3VrYWkgKEopIFshXS5uZXM=&t=Downtown - Nekketsu Koushin Kyoku - Soreyuke Daiundoukai',)"
"('Super Dodge Ball(Japan)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=4726&n=L2Zjcm9tL3lkYnMvTmVra2V0c3UgS291a291IERvZGdlYmFsbCBCdSAoSikgWyFdLm5lcw==&t=Super Dodge Ball(Japan)',)"
"('Super Dodge Ball(USA)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/2142a.png,"('https://www.yikm.net/play?id=4727&n=L2Zjcm9tL3lkYnMvU3VwZXIgRG9kZ2UgQmFsbCAoVSkgWyFdLm5lcw==&t=Super Dodge Ball(USA)',)"
"('Double Dragon(Japan)',)","('双截龙 双截龙 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3199&n=L2Zjcm9tL2R6bXgvRG91YmxlIERyYWdvbiAoSikgWyFdLm5lcw==&t=Double Dragon(Japan)',)"
"('Double Dragon(Europe)',)","('双截龙 双截龙 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/558a.png,"('https://www.yikm.net/play?id=3200&n=L2Zjcm9tL2R6bXgvRG91YmxlIERyYWdvbiAoRSkgWyFdLm5lcw==&t=Double Dragon(Europe)',)"
"('Double Dragon(USA)',)","('双截龙 双截龙 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/560a.png,"('https://www.yikm.net/play?id=3201&n=L2Zjcm9tL2R6bXgvRG91YmxlIERyYWdvbiAoVSkgWyFdLm5lcw==&t=Double Dragon(USA)',)"
"('双截龙2-复仇(日版)',)","('双截龙 双截龙 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3202&n=L2Zjcm9tL2R6bXgvRG91YmxlIERyYWdvbiBJSSAtIFRoZSBSZXZlbmdlIChKKS5uZXM=&t=双截龙2-复仇(日版)',)"
"('双截龙2-复仇(欧版)',)","('双截龙 双截龙 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/564a.png,"('https://www.yikm.net/play?id=3203&n=L2Zjcm9tL2R6bXgvRG91YmxlIERyYWdvbiBJSSAtIFRoZSBSZXZlbmdlIChFKSBbIV0ubmVz&t=双截龙2-复仇(欧版)',)"
"('双截龙2-复仇(美版)',)","('双截龙 双截龙 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3204&n=L2Zjcm9tL2R6bXgvRG91YmxlIERyYWdvbiBJSSAtIFRoZSBSZXZlbmdlIChVKSAoUFJHMSkgWyFdLm5lcw==&t=双截龙2-复仇(美版)',)"
"('双截龙3-罗塞塔之石(日版)',)","('双截龙 双截龙 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3205&n=L2Zjcm9tL2R6bXgvRG91YmxlIERyYWdvbiBJSUkgLSBUaGUgUm9zZXR0YSBTdG9uZSAoSikgWyFdLm5lcw==&t=双截龙3-罗塞塔之石(日版)',)"
"('双截龙3-罗塞塔之石(欧版)',)","('双截龙 双截龙 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/568a.png,"('https://www.yikm.net/play?id=3206&n=L2Zjcm9tL2R6bXgvRG91YmxlIERyYWdvbiBJSUkgLSBUaGUgU2FjcmVkIFN0b25lcyAoRSkgWyFdLm5lcw==&t=双截龙3-罗塞塔之石(欧版)',)"
"('双截龙3-罗塞塔之石(美版)',)","('双截龙 双截龙 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/568a.png,"('https://www.yikm.net/play?id=3207&n=L2Zjcm9tL2R6bXgvRG91YmxlIERyYWdvbiBJSUkgLSBUaGUgU2FjcmVkIFN0b25lcyAoVSkgWyFdLm5lcw==&t=双截龙3-罗塞塔之石(美版)',)"
"('TARGET',)","('双截龙 双截龙 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3208&n=L2Zjcm9tL2R6bXgvVGFyZ2V0IC0gUmVuZWdhZGUgKFUpIFshXS5uZXM=&t=TARGET',)"
"('Takahashi Meijin No Bugutte Honey',)","('射击 射击 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/sj/2217a.png,"('https://www.yikm.net/play?id=3997&n=L2Zjcm9tL3NqL1Rha2FoYXNoaSBNZWlqaW4gbm8gQnVndXR0ZSBIb25leSAoSikgWyFdLm5lcw==&t=Takahashi Meijin No Bugutte Honey',)"
"('Saiyuuki World(Japan)',)","('动作冒险 动作冒险 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1880a.png,"('https://www.yikm.net/play?id=3486&n=L2Zjcm9tL2R6bXgvU2FpeXV1a2kgV29ybGQgKEopLm5lcw==&t=Saiyuuki World(Japan)',)"
"('Whomp Em(Japan)',)","('动作冒险 动作冒险 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1881a.png,"('https://www.yikm.net/play?id=3487&n=L2Zjcm9tL2R6bXgvU2FpeXV1a2kgV29ybGQgMiAtIFRlbmpvdWthaSBubyBNYWppbiAoSikubmVz&t=Whomp Em(Japan)',)"
"('SNOWBROS(Japan)',)","('小游戏 小游戏 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/xyx/2023a.png,"('https://www.yikm.net/play?id=4511&n=L2Zjcm9tL3h5eC9Tbm93IEJyb3MuIChKKS5uZXM=&t=SNOWBROS(Japan)',)"
"('Whomp Em(USA)',)","('动作冒险 动作冒险 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3488&n=L2Zjcm9tL2R6bXgvV2hvbXAnRW0gKFUpIFshXS5uZXM=&t=Whomp Em(USA)',)"
"('Super Mario Bros',)","('超级马里奥 超级马里奥 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/2146a.png,"('https://www.yikm.net/play?id=3501&n=L2Zjcm9tL2R6bXgvU3VwZXIgTWFyaW8gQnJvcy4gKFcpIFshXS5uZXM=&t=Super Mario Bros',)"
"('Super Mario Bros 2(Japan)',)","('超级马里奥 超级马里奥 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/2161a.png,"('https://www.yikm.net/play?id=3502&n=L2Zjcm9tL2R6bXgvU3VwZXIgTWFyaW8gVVNBIChKKSBbIV0ubmVz&t=Super Mario Bros 2(Japan)',)"
"('Super Mario Bros 2(Europe)',)","('超级马里奥 超级马里奥 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/2153a.png,"('https://www.yikm.net/play?id=3503&n=L2Zjcm9tL2R6bXgvU3VwZXIgTWFyaW8gQnJvcy4gMiAoRSkgWyFdLm5lcw==&t=Super Mario Bros 2(Europe)',)"
"('Super Mario Bros 3(Europe)',)","('超级马里奥 超级马里奥 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/2157a.png,"('https://www.yikm.net/play?id=3507&n=L2Zjcm9tL2R6bXgvU3VwZXIgTWFyaW8gQnJvcy4gMyAoRSkgWyFdLm5lcw==&t=Super Mario Bros 3(Europe)',)"
